#hs11	1316873	1457366	TOLLIP
#hs11	1316873	1457366	BRSK2
#hs10	49365363	49383984	FRMPD2
#hs1	25747128	25747279	RHCE
hs7	38300000	38350000	TCR
hs7	50344378	50472798	IKZF1
hs7	142000000	142500000	TCR
hs9	21967751	21975132	CDKN2A/B
hs22	22079959	23200958	IGLV
hs2	89156873	89266257	IGK
hs6	26087667	26250835	HIST1
#hs6	32487145	32487430	HLA
hs9	36966544	37026572	PAX5
hs14	22987789	23002508	TCR
hs14	106303777	106329470	IGH
#hs17	39341200	39596497	KRTAP
#hs3	89448466	89480511	EPHA3
hsX	1387692	1585453	CRLF2
hsX	1581466	1656037	P2RY8
hs15	26788693	27184686	GABRB3
#hs16	20462783	20498991	ACSM2A
hs12	92534054	92539673	BTG1
